Name,Mammals,Birds,Reptiles*,Amphibians,Fishes*,Molluscs*,Other Inverts*,Plants*,Fungi*,Chromists*,Total
Antarctica,2,5,0,0,1,0,0,0,0,0,8
Bouvet Island,1,1,0,0,0,0,0,0,0,0,2
French Southern Territories,3,14,7,0,10,0,0,2,0,0,36
Heard Island and McDonald Islands,1,10,0,0,2,0,0,0,0,0,13
South Georgia and the South Sandwich Islands,3,6,0,0,0,0,0,0,0,0,9
Anguilla,1,0,8,0,48,0,25,3,0,0,85
Antigua and Barbuda,2,3,8,0,48,0,25,2,0,0,88
Aruba,2,1,2,0,50,1,25,5,0,0,86
Bahamas,5,9,13,0,60,1,27,28,0,0,143
Barbados,3,3,7,0,47,0,26,4,0,0,90
Bermuda,4,3,4,0,35,2,35,8,0,0,91
"Bonaire, Sint Eustatius and Saba",3,1,7,0,51,0,27,6,0,0,95
Cayman Islands,1,1,11,0,43,2,28,23,0,0,109
Cuba,10,17,44,49,66,0,38,196,0,0,420
Curaçao,3,1,5,0,46,0,26,4,0,0,85
Dominica,3,6,3,2,49,0,25,20,0,0,108
Dominican Republic,6,17,59,35,47,0,36,104,0,0,304
Grenada,3,2,7,1,48,0,26,7,0,0,94
Guadeloupe,4,4,14,3,47,1,29,19,0,0,121
Haiti,3,17,66,45,61,0,30,228,0,0,450
Jamaica,7,10,29,20,48,0,30,215,0,0,359
Martinique,1,5,9,2,45,2,23,19,1,0,107
Montserrat,2,3,4,1,45,0,25,8,0,0,88
Puerto Rico,2,13,16,14,49,0,25,77,1,0,197
Saint Barthélemy,1,0,4,0,36,0,25,2,0,0,68
Saint Kitts and Nevis,2,3,6,1,46,0,25,5,0,0,88
Saint Lucia,2,7,9,0,46,0,25,16,0,0,105
Saint Martin (French part),2,1,7,0,44,0,25,2,0,0,81
Saint Vincent and the Grenadines,2,4,8,1,47,0,25,8,0,0,95
Sint Maarten (Dutch part),2,1,7,0,44,0,25,1,0,0,80
Trinidad and Tobago,3,5,7,4,61,0,26,58,0,0,164
Turks and Caicos Islands,2,3,8,0,45,0,25,10,0,0,93
"Virgin Islands, British",1,2,15,2,47,0,25,25,0,0,117
"Virgin Islands, U.S.",1,3,14,3,47,0,23,22,0,0,113
China,78,94,55,148,208,15,93,720,8,0,1419
Hong Kong,6,21,7,6,33,1,10,16,0,0,100
Japan,29,50,26,45,166,61,145,75,15,0,612
"Korea, Democratic People's Republic of",10,30,2,1,51,0,4,20,2,0,120
"Korea, Republic of",12,34,3,5,69,3,8,38,3,0,175
Macao,0,4,1,0,21,0,1,0,0,0,27
Mongolia,11,24,0,0,1,0,2,1,4,0,43
"Taiwan, Province of China",12,24,14,10,144,2,129,88,2,0,425
Åland Islands,0,0,0,0,0,0,0,1,0,0,1
Albania,4,8,5,2,59,51,23,5,0,0,157
Andorra,2,3,1,0,0,3,5,1,0,0,15
Austria,5,13,1,0,13,43,64,38,50,0,227
Belgium,3,8,0,0,21,6,16,3,23,0,80
Bosnia and Herzegovina,5,9,3,2,51,19,38,5,1,0,133
Bulgaria,10,18,2,1,21,32,40,13,9,0,146
Croatia,10,16,4,2,80,50,45,11,26,0,244
Czechia,4,10,0,0,2,6,41,31,33,0,127
Denmark,2,10,0,0,27,5,15,2,30,0,91
Estonia,1,11,0,0,4,4,6,2,28,0,56
Faroe Islands,4,5,0,0,21,0,0,1,4,0,35
Finland,2,12,0,0,5,3,12,4,30,0,68
France,13,19,5,4,76,95,130,65,59,0,466
Germany,7,12,0,0,35,30,68,51,53,0,256
Gibraltar,4,10,0,1,34,5,4,1,0,0,59
Greece,12,19,10,5,97,179,184,86,9,0,601
Greenland,9,6,0,0,13,0,0,1,2,0,31
Guernsey,0,0,0,0,15,1,0,0,0,0,16
Holy See (Vatican City State),2,0,0,0,0,0,0,0,0,0,2
Hungary,6,14,1,0,11,8,38,45,20,0,143
Iceland,6,7,0,0,21,0,1,0,6,0,41
Ireland,4,9,1,0,43,4,3,8,20,0,92
Isle of Man,0,0,0,0,9,0,0,1,0,0,10
Italy,9,18,4,11,72,86,189,122,47,0,558
