variable_A,variable_B,variable_C,variable_D,variable_E,variable_F,variable_G,variable_H
55.3846,97.1795,58.21360826,91.88189151,51.20389114,83.33977661,52.87202149,97.34322266
51.5385,96.0256,58.19605369,92.21498865,58.9744699,85.49981761,59.01414449,93.57487487
46.1538,94.4872,58.71823072,90.31053209,51.87207267,85.82973763,56.37510904,96.30514763
42.8205,91.4103,57.27837287,89.90760672,48.17993079,85.04511674,37.83919968,94.3594435
40.7692,88.3333,58.08202049,92.00814501,41.6832004,84.0179406,39.88537342,90.63466208
38.7179,84.8718,57.48944777,88.08528556,37.8904155,82.567493,44.07740513,84.1258533
35.641,79.8718,28.08874132,63.51079443,39.54897369,80.81260177,31.49702549,67.91256216
33.0769,77.5641,28.08546821,63.59019695,39.64957388,82.66453387,25.95259655,73.03318035
28.9744,74.4872,28.08727305,63.12328281,34.75059705,80.01109099,36.43472391,62.29404546
26.1538,71.4103,27.57802522,62.82103866,27.56083529,72.84782559,24.99748269,75.44156166
23.0769,66.4103,27.77991911,63.51814752,24.63553998,71.61071483,32.24627514,70.11058684
22.3077,61.7949,28.58899981,63.02408057,20.95946481,66.04149838,18.10947229,53.70811033
22.3077,57.1795,28.7391415,62.72086389,20.68914905,62.72130521,21.79609923,49.49952952
23.3333,52.9487,27.02460324,62.90185886,19.28820474,62.06305936,24.15049107,47.18853353
25.8974,51.0256,28.8013367,63.38904039,20.02450057,61.34262387,28.6031956,44.2237227
29.4872,51.0256,27.18646384,63.55872965,35.469523,43.11588495,20.93199968,51.64623549
32.8205,51.0256,29.2851466,63.38360583,36.89432765,47.70655597,35.43553253,34.96103816
35.3846,51.4103,39.4029453,51.1508572,39.05554978,55.54697371,44.37738282,57.68473692
40.2564,51.4103,28.81132844,61.35785406,46.95708015,65.24040739,46.31369241,55.68559177
44.1026,52.9487,34.30395791,56.54212591,37.31045274,45.2587509,46.38607392,51.00216454
46.6667,54.1026,29.60276098,60.15734672,40.009672,60.98658251,42.49544009,56.90368153
50,55.2564,49.11615686,63.66000062,48.01438668,65.71281959,44.30051503,58.13295928
53.0769,55.641,39.61754583,62.92518796,53.70377593,66.38948204,46.98828335,55.42063673
56.6667,56.0256,43.23308466,63.16521872,63.06749989,64.03500046,52.42152316,47.86700549
59.2308,57.9487,64.89278794,65.81417676,62.04803251,63.84586325,64.09099819,68.65098501
61.2821,62.1795,62.49014932,74.58428961,59.83996671,64.47676444,63.01687176,68.22525891
61.5385,66.4103,68.98808443,63.23214731,55.16094182,65.23730817,67.30257792,64.41346272
61.7949,69.1026,62.10561863,75.99087076,61.27978658,65.7664025,67.22595689,62.47641053
57.4359,55.2564,32.46184674,62.88190292,60.83491753,64.60376971,50.30998872,47.26788186
54.8718,49.8718,41.32720065,49.07025127,61.52059065,64.79185504,45.41263892,53.87079769
52.5641,46.0256,44.00714993,46.44967378,36.91654386,41.09524744,54.02060718,47.26989721
48.2051,38.3333,44.07406069,34.55320389,38.50219967,41.56715562,49.84202225,50.57655229
49.4872,42.1795,44.00131524,33.90420735,48.66437073,30.68066685,50.71329957,48.77228678
51.0256,44.1026,45.00630045,38.29901955,50.2852524,30.33792211,55.04555491,45.98627275
45.3846,36.4103,44.44384061,36.0190833,42.27633267,34.52763612,37.54370126,32.88402447
42.8205,32.5641,42.1787134,26.49211948,54.03177562,29.67234831,39.79589781,28.44321912
38.7179,31.4103,44.04456562,35.66223828,37.32935526,39.60204231,28.52339102,39.79666625
35.1282,30.2564,41.64045402,27.09309542,41.38952255,37.29605623,31.399646,39.26526322
32.5641,32.1795,41.93833001,24.99152298,40.07466666,34.6236852,39.24156522,33.36141668
30,36.7949,44.05392751,33.55639249,35.34968062,47.14107313,27.71405657,42.25005163
33.5897,41.4103,39.20671933,51.5337157,34.76370042,47.62479992,32.96070352,35.82311129
36.6667,45.641,28.70444923,61.7775254,37.02662945,44.46229305,35.40473624,31.9391622
38.2051,49.1026,31.7086629,58.83775437,36.45556953,40.79184303,51.64222642,50.83834068
