Organism,AntimicrobialGroup,Indicator,Year,RegionCode,RegionName,PercentageResistant
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2012,AT,Austria,
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2012,BE,Belgium,
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2012,BG,Bulgaria,58.46153846
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2012,CY,Cyprus,52.17391304
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2012,CZ,Czechia,
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2012,DE,Germany,5.88235294
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2012,DK,Denmark,10.38961038
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2012,EE,Estonia,
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2012,EL,Greece,78.11993517
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2012,ES,Spain,
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2012,FI,Finland,
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2012,FR,France,12.94964028
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2012,HR,Croatia,
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2012,HU,Hungary,68.79606879
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2012,IE,Ireland,
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2012,IS,Iceland,
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2012,IT,Italy,83.33333333
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2012,LT,Lithuania,
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2012,LU,Luxembourg,
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2012,LV,Latvia,
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2012,MT,Malta,
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2012,NL,Netherlands,4.54545454
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2012,NO,Norway,4.0
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2012,PL,Poland,70.14218009
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2012,PT,Portugal,65.08875739
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2012,RO,Romania,57.4074074
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2012,SE,Sweden,
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2012,SI,Slovenia,20.0
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2012,SK,Slovakia,
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2012,UK,United Kingdom,2.77777777
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2013,AT,Austria,9.80392156
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2013,BE,Belgium,
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2013,BG,Bulgaria,58.24175824
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2013,CY,Cyprus,60.6060606
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2013,CZ,Czechia,15.38461538
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2013,DE,Germany,6.11111111
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2013,DK,Denmark,1.33333333
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2013,EE,Estonia,
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2013,EL,Greece,82.04182041
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2013,ES,Spain,68.83116883
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2013,FI,Finland,0.0
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2013,FR,France,11.24694376
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2013,HR,Croatia,84.07079646
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2013,HU,Hungary,63.21353065
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2013,IE,Ireland,1.13636363
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2013,IS,Iceland,
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2013,IT,Italy,81.79824561
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2013,LT,Lithuania,
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2013,LU,Luxembourg,
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2013,LV,Latvia,
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2013,MT,Malta,
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2013,NL,Netherlands,2.94117647
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2013,NO,Norway,2.77777777
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2013,PL,Poland,73.29842931
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2013,PT,Portugal,56.27705627
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2013,RO,Romania,80.2919708
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2013,SE,Sweden,8.1081081
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2013,SI,Slovenia,16.0
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2013,SK,Slovakia,42.78074866
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2013,UK,United Kingdom,2.45398773
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2014,AT,Austria,8.86075949
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2014,BE,Belgium,
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2014,BG,Bulgaria,60.91954022
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2014,CY,Cyprus,73.68421052
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2014,CZ,Czechia,10.16949152
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2014,DE,Germany,4.0609137
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2014,DK,Denmark,1.66666666
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2014,EE,Estonia,
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2014,EL,Greece,83.875
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2014,ES,Spain,58.75
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2014,FI,Finland,3.22580645
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2014,FR,France,8.31295843
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2014,HR,Croatia,82.53012048
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2014,HU,Hungary,59.45945945
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2014,IE,Ireland,2.24719101
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2014,IS,Iceland,
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2014,IT,Italy,88.28828828
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2014,LT,Lithuania,80.0
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2014,LU,Luxembourg,
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2014,LV,Latvia,69.23076923
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2014,MT,Malta,
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2014,NL,Netherlands,7.60869565
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2014,NO,Norway,3.03030303
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2014,PL,Poland,58.51063829
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2014,PT,Portugal,42.26415094
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2014,RO,Romania,77.86885245
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2014,SE,Sweden,2.77777777
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2014,SI,Slovenia,32.35294117
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2014,SK,Slovakia,40.58823529
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2014,UK,United Kingdom,10.07751937
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2015,AT,Austria,6.34920634
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2015,BE,Belgium,
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2015,BG,Bulgaria,74.13793103
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2015,CY,Cyprus,74.57627118
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2015,CZ,Czechia,15.0
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2015,DE,Germany,5.43806646
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2015,DK,Denmark,4.76190476
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2015,EE,Estonia,
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2015,EL,Greece,83.7037037
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2015,ES,Spain,48.95833333
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2015,FI,Finland,2.38095238
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2015,FR,France,11.13689095
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2015,HR,Croatia,88.32487309
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2015,HU,Hungary,60.64516129
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2015,IE,Ireland,3.75
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2015,IS,Iceland,
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2015,IT,Italy,74.69512195
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2015,LT,Lithuania,90.4109589
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2015,LU,Luxembourg,
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2015,LV,Latvia,59.01639344
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2015,MT,Malta,
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2015,NL,Netherlands,9.375
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2015,NO,Norway,9.375
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2015,PL,Poland,70.20408163
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2015,PT,Portugal,46.4516129
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2015,RO,Romania,80.85106382
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2015,SE,Sweden,3.84615384
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2015,SI,Slovenia,41.93548387
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2015,SK,Slovakia,42.85714285
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2015,UK,United Kingdom,1.96078431
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2016,AT,Austria,16.04938271
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2016,BE,Belgium,1.51515151
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2016,BG,Bulgaria,81.01265822
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2016,CY,Cyprus,57.14285714
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2016,CZ,Czechia,8.77192982
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2016,DE,Germany,2.98165137
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2016,DK,Denmark,0.0
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2016,EE,Estonia,
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2016,EL,Greece,84.96583143
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2016,ES,Spain,50.94339622
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2016,FI,Finland,3.57142857
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2016,FR,France,12.2494432
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2016,HR,Croatia,82.96703296
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2016,HU,Hungary,59.10224438
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2016,IE,Ireland,1.58730158
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2016,IS,Iceland,
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2016,IT,Italy,76.42045454
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2016,LT,Lithuania,82.75862068
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2016,LU,Luxembourg,
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2016,LV,Latvia,77.77777777
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2016,MT,Malta,
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2016,NL,Netherlands,3.05343511
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2016,NO,Norway,3.125
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2016,PL,Poland,72.60981912
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2016,PT,Portugal,39.32038834
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2016,RO,Romania,89.47368421
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2016,SE,Sweden,5.88235294
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2016,SI,Slovenia,43.33333333
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2016,SK,Slovakia,40.86956521
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2016,UK,United Kingdom,3.3444816
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2017,AT,Austria,9.33333333
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2017,BE,Belgium,13.13131313
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2017,BG,Bulgaria,89.13043478
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2017,CY,Cyprus,76.0
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2017,CZ,Czechia,12.72727272
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2017,DE,Germany,3.41365461
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2017,DK,Denmark,0.0
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2017,EE,Estonia,
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2017,EL,Greece,85.62030075
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2017,ES,Spain,52.17391304
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2017,FI,Finland,0.0
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2017,FR,France,9.07172995
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2017,HR,Croatia,83.98058252
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2017,HU,Hungary,56.14525139
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2017,IE,Ireland,3.22580645
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2017,IS,Iceland,
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2017,IT,Italy,76.07655502
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2017,LT,Lithuania,81.39534883
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2017,LU,Luxembourg,
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2017,LV,Latvia,78.78787878
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2017,MT,Malta,
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2017,NL,Netherlands,3.07692307
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2017,NO,Norway,0.0
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2017,PL,Poland,72.6744186
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2017,PT,Portugal,28.57142857
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2017,RO,Romania,83.60655737
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2017,SE,Sweden,0.0
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2017,SI,Slovenia,41.66666666
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2017,SK,Slovakia,40.0
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2017,UK,United Kingdom,4.55696202
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2018,AT,Austria,8.69565217
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2018,BE,Belgium,7.37704918
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2018,BG,Bulgaria,73.63636363
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2018,CY,Cyprus,75.43859649
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2018,CZ,Czechia,21.97802197
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2018,DE,Germany,3.41365461
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2018,DK,Denmark,7.54716981
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2018,EE,Estonia,
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2018,EL,Greece,81.55533399
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2018,ES,Spain,49.38271604
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2018,FI,Finland,7.4074074
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2018,FR,France,8.92116182
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2018,HR,Croatia,91.50326797
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2018,HU,Hungary,48.68804664
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2018,IE,Ireland,3.57142857
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2018,IS,Iceland,
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2018,IT,Italy,76.99050401
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2018,LT,Lithuania,85.05747126
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2018,LU,Luxembourg,
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2018,LV,Latvia,60.41666666
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2018,MT,Malta,
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2018,NL,Netherlands,4.72972972
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2018,NO,Norway,0.0
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2018,PL,Poland,67.36842105
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2018,PT,Portugal,25.39682539
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2018,RO,Romania,80.0
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2018,SE,Sweden,5.45454545
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2018,SI,Slovenia,20.51282051
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2018,SK,Slovakia,44.44444444
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2018,UK,United Kingdom,5.09641873
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2019,AT,Austria,7.31707317
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2019,BE,Belgium,3.52941176
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2019,BG,Bulgaria,78.03030303
Acinetobacter spp.,Aminoglycosides,"R - resistant isolates, percentage  ",2019,CY,Cyprus,84.375
